Post_ID,Post,Sentiment_Score,Sentiment
1,"I really love this product, it is amazing!",0.862,Positive
2,Great service and very helpful staff.,0.8016,Positive
3,This is an excellent update. Thank you!,0.7574,Positive
4,I am very happy with the support I received.,0.7713,Positive
5,"Amazing experience, I would recommend this to everyone.",0.743,Positive
6,The event was wonderful and well organized.,0.7003,Positive
7,Very useful information. I learned a lot.,0.4927,Positive
8,Fantastic work by the team!,0.5983,Positive
9,I am satisfied with the service.,0.4215,Positive
12,It is fine but could be better.,0.6428,Positive
19,"Excellent work, keep it up!",0.6114,Positive
20,Really good service and fast response.,0.4927,Positive
